epoch,train_loss,val_loss,val_mae,val_mse
0,0.4543498456478119,0.21810397505760193,0.2920116186141968,0.13050049543380737
1,0.4023324251174927,0.2143736183643341,0.28859856724739075,0.1277940571308136
2,0.37217891216278076,0.2103935033082962,0.28473395109176636,0.1249733418226242
3,0.35050415992736816,0.2070842981338501,0.28119736909866333,0.12272506952285767
4,0.33954134583473206,0.20471547544002533,0.27857375144958496,0.1211434006690979
5,0.33281365036964417,0.20300859212875366,0.2766173481941223,0.12002336978912354
6,0.3290601670742035,0.20174174010753632,0.2751087248325348,0.1192091554403305
7,0.32392948865890503,0.200690358877182,0.27385392785072327,0.11853417754173279
8,0.32335391640663147,0.19979384541511536,0.2727211117744446,0.11797750741243362
9,0.3182363212108612,0.19902095198631287,0.27178826928138733,0.11748450249433517
10,0.31915804743766785,0.19848445057868958,0.27109581232070923,0.11715572327375412
11,0.3184621036052704,0.19819983839988708,0.27070337533950806,0.11698883026838303
12,0.3168486952781677,0.19789613783359528,0.27028515934944153,0.11681060492992401
13,0.3178643584251404,0.19762934744358063,0.26994702219963074,0.11664522439241409
14,0.3170846700668335,0.19739755988121033,0.26969847083091736,0.1164880245923996
15,0.3164007067680359,0.19702385365962982,0.26933732628822327,0.11622267961502075
16,0.31744304299354553,0.19702976942062378,0.26925966143608093,0.11625184863805771
17,0.31680363416671753,0.19686321914196014,0.26911070942878723,0.11613001674413681
18,0.3126191794872284,0.19676043093204498,0.2689838409423828,0.11606524139642715
19,0.31488922238349915,0.1966460645198822,0.26884743571281433,0.11599185317754745
